Date,Value
2020-06-12,54
2020-06-19,52
2020-06-26,45
2020-07-02,50
2020-07-10,59
2020-07-17,63
2020-07-24,63
2020-07-31,65
2020-08-07,72
2020-08-14,72
2020-08-21,70
2020-08-28,78
2020-09-04,59
2020-09-11,58
2020-09-18,52
2020-09-25,49
2020-10-02,40
2020-10-09,55
2020-10-16,62
2020-10-23,67
2020-10-30,29
2020-11-06,40
2020-11-13,59
2020-11-20,62
2020-11-27,92
2020-12-04,89
2020-12-11,76
2020-12-18,63
2020-12-24,54
2020-12-31,51
2021-01-08,71
2021-01-15,60
2021-01-22,69
2021-01-29,38
2021-02-05,60
2021-02-12,73
2021-02-19,59
2021-02-26,48
2021-03-05,41
2021-03-12,53
2021-03-19,50
2021-03-26,37
2021-04-01,46
2021-04-09,47
2021-04-16,51
2021-04-23,47
2021-04-30,46
2021-05-07,48
2021-05-14,35
2021-05-21,29
2021-05-28,31
2021-06-04,41
2021-06-11,51
2021-06-18,31
2021-06-25,41
2021-07-02,38
2021-07-09,31
2021-07-16,26
2021-07-23,28
2021-07-30,25
2021-08-06,31
2021-08-13,47
2021-08-20,23
2021-08-27,47
2021-09-03,44
2021-09-10,20
2021-09-17,17
2021-09-24,23
2021-10-01,18
2021-10-08,25
2021-10-15,43
2021-10-22,59
2021-10-29,65
2021-11-05,73
2021-11-12,74
2021-11-19,62
2021-11-26,31
2021-12-03,20
2021-12-10,42
2021-12-17,32
2021-12-23,50
2021-12-31,62
2022-01-07,49
2022-01-14,55
2022-01-21,26
2022-01-28,23
2022-02-04,27
2022-02-11,28
2022-02-18,29
2022-02-25,28
2022-03-04,18
2022-03-11,19
2022-03-18,38
2022-03-25,49
2022-04-01,59
2022-04-08,46
2022-04-14,39
2022-04-22,31
2022-04-29,14
2022-05-06,12
2022-05-13,11
2022-05-20,12
2022-05-27,29
2022-06-03,35
2022-06-10,40
2022-06-17,16
2022-06-24,30
2022-07-01,24
2022-07-08,31
2022-07-15,33
2022-07-22,42
2022-07-29,52
2022-08-05,63
2022-08-12,68
2022-08-19,63
2022-08-26,55
2022-09-02,42
2022-09-09,43
2022-09-16,35
2022-09-23,21
2022-09-30,16
2022-10-07,19
2022-10-14,16
2022-10-21,43
2022-10-28,57
2022-11-04,56
2022-11-11,63
2022-11-18,60
2022-11-25,63
2022-12-02,68
2022-12-09,52
2022-12-16,44
2022-12-23,39
2022-12-30,36
2023-01-06,45
2023-01-13,61
2023-01-20,58
2023-01-27,69
2023-02-03,76
2023-02-10,72
2023-02-17,69
2023-02-24,60
2023-03-03,55
2023-03-10,26
2023-03-17,27
2023-03-24,37
2023-03-31,49
2023-04-06,55
2023-04-14,65
2023-04-21,63
2023-04-28,59
2023-05-05,53
2023-05-12,57
2023-05-19,65
2023-05-26,65
2023-06-02,75
2023-06-09,76
2023-06-16,81
2023-06-23,75
2023-06-30,79
2023-07-07,77
2023-07-14,79
2023-07-21,81
2023-07-28,76
2023-08-04,64
2023-08-11,65
2023-08-18,43
2023-08-25,47
2023-09-01,55
2023-09-08,51
2023-09-15,52
2023-09-22,33
2023-09-29,28
2023-10-06,27
2023-10-13,26
2023-10-20,22
2023-10-27,21
2023-11-03,36
2023-11-10,41
2023-11-17,58
2023-11-24,66
2023-12-01,64
2023-12-08,65
2023-12-15,69
2023-12-22,79
2023-12-29,80
2024-01-05,75
2024-01-12,73
2024-01-19,72
2024-01-26,73
2024-02-02,74
2024-02-09,75
2024-02-16,73
2024-02-23,73
2024-03-01,76
2024-03-08,70
2024-03-15,68
2024-03-22,69
2024-03-28,68
2024-04-05,58
2024-04-12,45
2024-04-19,27
2024-04-26,40
2024-05-03,43
2024-05-10,46
2024-05-17,62
2024-05-24,51
2024-05-31,48
2024-06-07,43
2024-06-14,41
2024-06-21,39
2024-06-28,44
2024-07-05,49
2024-07-12,54
2024-07-19,43
2024-07-26,42
2024-08-02,41
2024-08-09,24
2024-08-16,33
2024-08-23,51
2024-08-30,60
2024-09-06,39
2024-09-13,48
2024-09-20,61
2024-09-27,67
2024-10-04,71
2024-10-11,71
2024-10-18,72
2024-10-25,58
2024-11-01,50
2024-11-08,59
2024-11-15,51
2024-11-22,60
2024-11-29,65
2024-12-06,52
2024-12-13,49
2024-12-20,27
2024-12-27,33
2024-12-31,26
2025-01-03,28
2025-01-10,25
2025-01-17,36
2025-01-24,45
2025-01-31,43
2025-02-07,38
2025-02-14,43
2025-02-21,36
2025-02-28,20
2025-03-07,17
2025-03-14,22
2025-03-21,25
2025-03-28,21
2025-04-04,3
2025-04-11,19
2025-04-17,20
2025-04-25,35
2025-05-02,54
2025-05-09,63
2025-05-16,70
2025-05-23,64
2025-05-30,62
2025-06-06,63
2025-06-13,60
2025-06-20,55
2025-06-27,65
2025-07-03,78
2025-07-11,75
2025-07-18,74
2025-07-25,75
2025-08-01,50
2025-08-08,58
2025-08-15,64
2025-08-22,62
2025-08-29,61
2025-09-05,53
2025-09-12,54
2025-09-19,62
2025-09-22,62
2025-09-23,58
2025-09-24,55
2025-09-25,52
2025-09-26,54
2025-09-29,51
2025-09-30,50
2025-10-01,50
2025-10-02,54
2025-10-03,54
2025-10-06,57
2025-10-07,50
2025-10-08,52
2025-10-09,47
2025-10-10,32
2025-10-13,29
2025-10-14,32
2025-10-15,31
2025-10-16,23
2025-10-17,29
2025-10-20,30
2025-10-21,29
2025-10-22,26
2025-10-23,29
2025-10-24,33
2025-10-27,38
2025-10-28,39
2025-10-29,40
2025-10-30,36
2025-10-31,48
