Date,Value
2011-04-14,29.285714285714285
2011-04-15,28.0
2011-04-16,28.333333333333332
2011-04-17,28.666666666666668
2011-04-18,29.0
2011-04-19,29.333333333333332
2011-04-20,29.666666666666668
2011-04-21,30.0
2011-04-22,31.375
2011-04-23,32.75
2011-04-24,34.125
2011-04-25,35.5
2011-04-26,36.875
2011-04-27,38.25
2011-04-28,39.625
2011-04-29,41.0
2011-04-30,39.0
2011-05-01,37.0
2011-05-02,35.0
2011-05-03,33.0
2011-05-04,31.0
2011-05-05,29.0
2011-05-06,27.0
2011-05-07,27.714285714285715
2011-05-08,28.428571428571427
2011-05-09,29.142857142857142
2011-05-10,29.857142857142858
2011-05-11,30.571428571428573
2011-05-12,31.285714285714285
2011-05-13,32.0
2011-05-14,30.571428571428573
2011-05-15,29.142857142857142
2011-05-16,27.714285714285715
2011-05-17,26.285714285714285
2011-05-18,24.857142857142858
2011-05-19,23.428571428571427
2011-05-20,22.0
2011-05-21,21.142857142857142
2011-05-22,20.285714285714285
2011-05-23,19.428571428571427
2011-05-24,18.571428571428573
2011-05-25,17.714285714285715
2011-05-26,16.857142857142858
2011-05-27,16.0
2011-05-28,15.0
2011-05-29,14.0
2011-05-30,13.0
2011-05-31,12.0
2011-06-01,11.0
2011-06-02,10.0
2011-06-03,9.0
2011-06-04,8.428571428571429
2011-06-05,7.857142857142858
2011-06-06,7.285714285714286
2011-06-07,6.714285714285714
2011-06-08,6.142857142857143
2011-06-09,5.571428571428571
2011-06-10,5.0
2011-06-11,5.285714285714286
2011-06-12,5.571428571428571
2011-06-13,5.857142857142857
2011-06-14,6.142857142857142
2011-06-15,6.428571428571429
2011-06-16,6.714285714285714
2011-06-17,7.0
2011-06-18,7.571428571428571
2011-06-19,8.142857142857142
2011-06-20,8.714285714285714
2011-06-21,9.285714285714285
2011-06-22,9.857142857142858
2011-06-23,10.428571428571429
2011-06-24,11.0
2011-06-25,14.285714285714285
2011-06-26,17.57142857142857
2011-06-27,20.857142857142858
2011-06-28,24.142857142857142
2011-06-29,27.428571428571427
2011-06-30,30.714285714285715
2011-07-01,34.0
2011-07-02,35.285714285714285
2011-07-03,36.57142857142857
2011-07-04,37.857142857142854
2011-07-05,39.142857142857146
2011-07-06,40.42857142857143
2011-07-07,41.714285714285715
2011-07-08,43.0
2011-07-09,41.42857142857143
2011-07-10,39.857142857142854
2011-07-11,38.285714285714285
2011-07-12,36.714285714285715
2011-07-13,35.142857142857146
2011-07-14,33.57142857142857
2011-07-15,32.0
2011-07-16,34.714285714285715
2011-07-17,37.42857142857143
2011-07-18,40.142857142857146
2011-07-19,42.85714285714286
2011-07-20,45.57142857142857
2011-07-21,48.285714285714285
2011-07-22,51.0
2011-07-23,46.0
2011-07-24,41.0
2011-07-25,36.0
2011-07-26,31.0
2011-07-27,26.0
2011-07-28,21.0
2011-07-29,16.0
2011-07-30,14.428571428571429
2011-07-31,12.857142857142858
2011-08-01,11.285714285714286
2011-08-02,9.714285714285715
2011-08-03,8.142857142857142
2011-08-04,6.571428571428571
2011-08-05,5.0
2011-08-06,5.142857142857143
2011-08-07,5.285714285714286
2011-08-08,5.428571428571429
2011-08-09,5.571428571428571
2011-08-10,5.714285714285714
2011-08-11,5.857142857142857
2011-08-12,6.0
2011-08-13,6.0
2011-08-14,6.0
2011-08-15,6.0
2011-08-16,6.0
2011-08-17,6.0
2011-08-18,6.0
2011-08-19,6.0
2011-08-20,6.857142857142857
2011-08-21,7.714285714285714
2011-08-22,8.571428571428571
2011-08-23,9.428571428571429
2011-08-24,10.285714285714285
2011-08-25,11.142857142857142
2011-08-26,12.0
2011-08-27,14.0
2011-08-28,16.0
2011-08-29,18.0
2011-08-30,20.0
2011-08-31,22.0
2011-09-01,24.0
2011-09-02,26.0
2011-09-03,25.857142857142858
2011-09-04,25.714285714285715
2011-09-05,25.571428571428573
2011-09-06,25.428571428571427
2011-09-07,25.285714285714285
2011-09-08,25.142857142857142
2011-09-09,25.0
2011-09-10,26.857142857142858
2011-09-11,28.714285714285715
2011-09-12,30.571428571428573
2011-09-13,32.42857142857143
2011-09-14,34.285714285714285
2011-09-15,36.142857142857146
2011-09-16,38.0
2011-09-17,36.57142857142857
2011-09-18,35.142857142857146
2011-09-19,33.714285714285715
2011-09-20,32.285714285714285
2011-09-21,30.857142857142858
2011-09-22,29.428571428571427
2011-09-23,28.0
2011-09-24,27.142857142857142
2011-09-25,26.285714285714285
2011-09-26,25.428571428571427
2011-09-27,24.571428571428573
2011-09-28,23.714285714285715
2011-09-29,22.857142857142858
2011-09-30,22.0
2011-10-01,23.285714285714285
2011-10-02,24.571428571428573
2011-10-03,25.857142857142858
2011-10-04,27.142857142857142
2011-10-05,28.42857142857143
2011-10-06,29.714285714285715
2011-10-07,31.0
2011-10-08,32.42857142857143
2011-10-09,33.857142857142854
2011-10-10,35.285714285714285
2011-10-11,36.714285714285715
2011-10-12,38.142857142857146
2011-10-13,39.57142857142857
2011-10-14,41.0
2011-10-15,44.57142857142857
2011-10-16,48.142857142857146
2011-10-17,51.714285714285715
2011-10-18,55.285714285714285
2011-10-19,58.85714285714286
2011-10-20,62.42857142857143
2011-10-21,66.0
2011-10-22,66.0
2011-10-23,66.0
2011-10-24,66.0
2011-10-25,66.0
2011-10-26,66.0
2011-10-27,66.0
2011-10-28,66.0
2011-10-29,65.14285714285714
2011-10-30,64.28571428571429
2011-10-31,63.42857142857143
2011-11-01,62.57142857142857
2011-11-02,61.714285714285715
2011-11-03,60.857142857142854
2011-11-04,60.0
2011-11-05,60.0
2011-11-06,60.0
2011-11-07,60.0
2011-11-08,60.0
2011-11-09,60.0
2011-11-10,60.0
2011-11-11,60.0
2011-11-12,58.0
2011-11-13,56.0
2011-11-14,54.0
2011-11-15,52.0
2011-11-16,50.0
2011-11-17,48.0
2011-11-18,46.0
2011-11-19,46.714285714285715
2011-11-20,47.42857142857143
2011-11-21,48.142857142857146
2011-11-22,48.857142857142854
2011-11-23,49.57142857142857
2011-11-24,50.285714285714285
2011-11-25,51.0
2011-11-26,53.285714285714285
2011-11-27,55.57142857142857
2011-11-28,57.857142857142854
2011-11-29,60.14285714285714
2011-11-30,62.42857142857143
2011-12-01,64.71428571428571
2011-12-02,67.0
2011-12-03,66.71428571428571
2011-12-04,66.42857142857143
2011-12-05,66.14285714285714
2011-12-06,65.85714285714286
2011-12-07,65.57142857142857
2011-12-08,65.28571428571429
2011-12-09,65.0
2011-12-10,64.28571428571429
2011-12-11,63.57142857142857
2011-12-12,62.857142857142854
2011-12-13,62.142857142857146
2011-12-14,61.42857142857143
2011-12-15,60.714285714285715
2011-12-16,60.0
2011-12-17,62.42857142857143
2011-12-18,64.85714285714286
2011-12-19,67.28571428571429
2011-12-20,69.71428571428571
2011-12-21,72.14285714285714
2011-12-22,74.57142857142857
2011-12-23,77.0
2011-12-24,76.71428571428571
2011-12-25,76.42857142857143
2011-12-26,76.14285714285714
2011-12-27,75.85714285714286
2011-12-28,75.57142857142857
2011-12-29,75.28571428571429
2011-12-30,75.0
2011-12-31,75.42857142857143
2012-01-01,75.85714285714286
2012-01-02,76.28571428571429
2012-01-03,76.71428571428571
2012-01-04,77.14285714285714
2012-01-05,77.57142857142857
2012-01-06,78.0
2012-01-07,78.71428571428571
2012-01-08,79.42857142857143
2012-01-09,80.14285714285714
2012-01-10,80.85714285714286
2012-01-11,81.57142857142857
2012-01-12,82.28571428571429
2012-01-13,83.0
2012-01-14,83.71428571428571
2012-01-15,84.42857142857143
2012-01-16,85.14285714285714
2012-01-17,85.85714285714286
2012-01-18,86.57142857142857
2012-01-19,87.28571428571429
2012-01-20,88.0
2012-01-21,87.14285714285714
2012-01-22,86.28571428571429
2012-01-23,85.42857142857143
2012-01-24,84.57142857142857
2012-01-25,83.71428571428571
2012-01-26,82.85714285714286
2012-01-27,82.0
2012-01-28,82.85714285714286
2012-01-29,83.71428571428571
2012-01-30,84.57142857142857
2012-01-31,85.42857142857143
2012-02-01,86.28571428571429
2012-02-02,87.14285714285714
2012-02-03,88.0
2012-02-04,87.28571428571429
2012-02-05,86.57142857142857
2012-02-06,85.85714285714286
2012-02-07,85.14285714285714
2012-02-08,84.42857142857143
2012-02-09,83.71428571428571
2012-02-10,83.0
2012-02-11,82.57142857142857
2012-02-12,82.14285714285714
2012-02-13,81.71428571428571
2012-02-14,81.28571428571429
2012-02-15,80.85714285714286
2012-02-16,80.42857142857143
2012-02-17,80.0
2012-02-18,79.85714285714286
2012-02-19,79.71428571428571
2012-02-20,79.57142857142857
2012-02-21,79.42857142857143
2012-02-22,79.28571428571429
2012-02-23,79.14285714285714
2012-02-24,79.0
2012-02-25,77.42857142857143
2012-02-26,75.85714285714286
2012-02-27,74.28571428571429
2012-02-28,72.71428571428571
2012-02-29,71.14285714285714
2012-03-01,69.57142857142857
2012-03-02,68.0
2012-03-03,68.28571428571429
2012-03-04,68.57142857142857
2012-03-05,68.85714285714286
2012-03-06,69.14285714285714
2012-03-07,69.42857142857143
2012-03-08,69.71428571428571
2012-03-09,70.0
2012-03-10,71.0
2012-03-11,72.0
2012-03-12,73.0
2012-03-13,74.0
2012-03-14,75.0
2012-03-15,76.0
2012-03-16,77.0
2012-03-17,76.14285714285714
2012-03-18,75.28571428571429
2012-03-19,74.42857142857143
2012-03-20,73.57142857142857
2012-03-21,72.71428571428571
2012-03-22,71.85714285714286
2012-03-23,71.0
2012-03-24,69.85714285714286
2012-03-25,68.71428571428571
2012-03-26,67.57142857142857
2012-03-27,66.42857142857143
2012-03-28,65.28571428571429
2012-03-29,64.14285714285714
2012-03-30,63.0
2012-03-31,61.666666666666664
2012-04-01,60.333333333333336
2012-04-02,59.0
2012-04-03,57.666666666666664
2012-04-04,56.333333333333336
2012-04-05,55.0
2012-04-06,52.875
2012-04-07,50.75
2012-04-08,48.625
2012-04-09,46.5
2012-04-10,44.375
2012-04-11,42.25
2012-04-12,40.125
2012-04-13,38.0
2012-04-14,37.57142857142857
2012-04-15,37.142857142857146
2012-04-16,36.714285714285715
2012-04-17,36.285714285714285
2012-04-18,35.857142857142854
2012-04-19,35.42857142857143
2012-04-20,35.0
2012-04-21,35.857142857142854
2012-04-22,36.714285714285715
2012-04-23,37.57142857142857
2012-04-24,38.42857142857143
2012-04-25,39.285714285714285
2012-04-26,40.142857142857146
2012-04-27,41.0
2012-04-28,41.0
2012-04-29,41.0
2012-04-30,41.0
2012-05-01,41.0
2012-05-02,41.0
2012-05-03,41.0
2012-05-04,41.0
2012-05-05,38.714285714285715
2012-05-06,36.42857142857143
